,Lat,Lng,City,temperature,humidity,cloudiness,windSpeed
0,85.55022415030803,-131.3102258632831,tuktoyaktuk,281.15,93.0,90.0,4.1
1,53.15760376240112,-50.23531875127867,bonavista,291.371,83.0,56.0,4.91
3,-2.0204830582580513,49.99142264348856,victoria,298.15,94.0,75.0,0.5
4,49.89305993796131,130.41525694427645,talakan,295.071,77.0,20.0,1.66
5,-0.12330348508754696,-97.14357467573527,puerto ayora,296.15,69.0,40.0,8.7
6,-46.14404705652846,-149.15352848343898,mataura,281.271,88.0,20.0,2.01
7,27.876442958857822,127.70203335518187,nago,295.58,69.0,40.0,1.5
8,30.97399110385176,38.50654609028294,turayf,298.15,41.0,0.0,4.1
9,89.0585733907435,-165.76403964780494,barrow,284.371,48.0,8.0,5.46
11,2.621851834987865,158.75815034634422,namatanai,299.171,100.0,88.0,2.01
12,14.025021851236119,-143.23544004392457,hilo,300.02,65.0,90.0,4.1
13,-38.236591658640414,-75.23730419095767,lebu,286.15,87.0,75.0,2.1
14,-27.720510697453435,-101.23835997926756,pisco,290.371,86.0,0.0,1.76
15,13.625151607148112,-115.31662899288652,cabo san lucas,305.82,48.0,20.0,6.2
16,-42.017231057384485,-93.56528384539156,ancud,282.821,97.0,100.0,2.51
17,-38.250542404963646,-177.62760378092025,vaini,293.971,98.0,92.0,4.36
18,42.72478685168397,-138.10610875763177,port hardy,291.15,72.0,75.0,4.6
19,17.575346643726633,-154.98143873042187,hilo,300.02,65.0,90.0,4.1
20,82.7233485964812,-166.52641226161103,barrow,284.371,48.0,8.0,5.46
21,-62.07724140297243,-65.08349149668426,ushuaia,274.15,64.0,0.0,2.6
22,78.25493164737185,111.70609682817815,saskylakh,287.171,71.0,0.0,6.11
24,11.186608697448392,-36.27833867467777,sao filipe,298.571,98.0,92.0,2.56
26,58.47325562333518,-116.988940560188,high level,302.15,30.0,75.0,1.5
27,31.432404873442778,-154.01100994326086,ahuimanu,300.51,94.0,90.0,4.1
28,3.1100751130561832,27.829388029291238,isiro,293.171,98.0,24.0,0.96
29,21.88780557190273,94.18067387972172,monywa,296.371,99.0,92.0,1.96
31,74.50249780849703,-43.47015872537048,ilulissat,282.15,61.0,40.0,0.5
32,-55.60959833519683,13.18392122645372,hermanus,282.921,85.0,24.0,4.06
33,-67.46223401227678,-23.41274563201108,mar del plata,282.471,81.0,48.0,1.51
34,89.17718669163602,-66.50675658452008,qaanaaq,278.421,82.0,80.0,4.56
36,23.878739863177557,-77.87917179466159,andros town,303.15,66.0,20.0,5.1
37,-67.65213772331511,141.87531124523065,hobart,283.15,81.0,90.0,3.6
38,4.687429293678193,129.35578105756832,pundaguitan,302.171,97.0,44.0,5.21
39,26.040461386902408,-17.946713292298455,adeje,296.671,87.0,88.0,3.01
40,6.71650997719631,-92.6464362367635,acajutla,300.871,76.0,48.0,1.21
41,64.62762344359672,171.2980022483958,komsomolskiy,279.321,91.0,80.0,4.76
42,-26.29449989259865,-60.67246755006262,presidencia roque saenz pena,285.071,65.0,0.0,5.01
43,53.49060571500158,62.313325301616544,komsomolets,291.871,80.0,48.0,1.21
44,12.165784638783592,79.46066534349313,vikravandi,299.971,94.0,88.0,5.71
45,-63.50707571618425,-129.1991102814477,rikitea,296.421,100.0,20.0,7.26
46,55.354789545880834,96.11569065039328,irbeyskoye,285.071,89.0,0.0,3.66
47,-81.34850215302848,-80.63948251442899,ushuaia,274.15,64.0,0.0,2.6
48,-10.821738193451097,28.134548765440627,mwense,287.821,48.0,0.0,2.31
49,61.77374391297633,-67.412636685591,iqaluit,278.15,86.0,90.0,6.2
50,-20.28185164576466,-137.5853331316803,rikitea,296.421,100.0,20.0,7.26
51,-49.863873321030376,137.70483889442778,new norfolk,283.15,81.0,90.0,3.6
53,27.886423346122015,-71.4562700465465,cockburn town,301.821,95.0,0.0,7.41
54,84.7335386998989,15.378273237486667,longyearbyen,281.15,81.0,20.0,5.7
55,-80.12266553657881,-138.96258653271414,rikitea,296.421,100.0,20.0,7.26
56,9.24191130324671,-1.1667020615314243,tamale,298.171,81.0,76.0,1.46
57,79.17528946340994,-120.55922750371394,norman wells,295.15,53.0,90.0,4.1
58,-30.85673995047626,143.44408123748548,broken hill,284.071,56.0,20.0,9.86
59,2.705507730645806,3.489113107297811,yenagoa,296.221,86.0,48.0,2.66
60,-68.19618676369015,135.63244337686672,new norfolk,283.15,81.0,90.0,3.6
61,9.24788644632244,-122.07488310732232,cabo san lucas,305.82,48.0,20.0,6.2
62,70.8069060918954,-118.62196749494485,yellowknife,287.15,87.0,90.0,1.0
65,-61.23108012451476,-69.92899171562003,ushuaia,274.15,64.0,0.0,2.6
66,-39.4428366851478,-12.103700515615515,jamestown,279.671,95.0,88.0,8.16
67,7.205539799452936,-168.8043224446181,kapaa,301.9,83.0,90.0,8.7
68,-81.7375539022148,54.15484703723402,port alfred,284.721,100.0,0.0,2.81
70,-89.6473876748336,-135.10588423607498,rikitea,296.421,100.0,20.0,7.26
71,61.1384783155373,-127.52469432925875,norman wells,295.15,53.0,90.0,4.1
72,-88.66754690330237,79.50366368959885,busselton,287.171,100.0,92.0,4.46
73,2.841729624007314,-84.81143711698806,muisne,297.571,84.0,88.0,2.56
74,-52.26964476872531,89.43927905293043,busselton,287.171,100.0,92.0,4.46
75,57.27642647969759,-103.58504991885816,la ronge,292.15,59.0,75.0,3.1
76,-6.56274246920222,156.4210944401023,buin,283.15,57.0,75.0,1.5
77,-2.9447947044685208,36.892459080815854,longido,283.571,93.0,0.0,1.21
78,-45.069472634382464,73.18167339932788,mahebourg,293.15,60.0,20.0,4.1
79,-24.793025683504382,8.789123020227578,walvis bay,285.971,100.0,0.0,4.36
80,7.213793616889262,144.1787453289117,airai,294.621,74.0,0.0,0.76
81,-3.94075488463983,-42.51833046913518,porto,293.15,100.0,90.0,0.86
83,17.36495491899035,94.22461461941117,pathein,297.921,98.0,92.0,3.56
84,36.68580716604511,39.53991937441458,viransehir,295.171,47.0,0.0,2.51
85,-64.50484230093713,102.98025541937619,albany,298.84,62.0,20.0,2.1
87,-9.999567087209584,-7.310194417524201,jamestown,279.671,95.0,88.0,8.16
89,-45.106241864658074,37.710679824368526,east london,287.971,100.0,0.0,4.01
90,-51.706851167642654,92.42099782625337,busselton,287.171,100.0,92.0,4.46
91,-85.97288195984387,119.22775083015637,albany,298.84,62.0,20.0,2.1
92,74.18130669082652,-7.700556283503431,klaksvik,284.15,100.0,92.0,3.1
93,29.502163950721382,113.08630530888848,yueyang,302.721,83.0,0.0,2.76
94,15.392709647630397,-165.39776783139777,kapaa,301.9,83.0,90.0,8.7
95,-13.413377720980037,-31.93640562337049,maceio,293.15,94.0,0.0,1.5
96,-59.364706678232324,-60.700645155751204,ushuaia,274.15,64.0,0.0,2.6
97,-68.98326954511668,-23.64870907678818,mar del plata,282.471,81.0,48.0,1.51
98,-74.80263863782356,-126.85992667999224,rikitea,296.421,100.0,20.0,7.26
101,66.5168625995442,-16.252059619683394,husavik,291.221,88.0,8.0,6.46
102,-2.363063146228825,-52.23182212589026,senador jose porfirio,299.121,82.0,64.0,1.36
103,-73.5827052876513,-76.95171488893574,ushuaia,274.15,64.0,0.0,2.6
104,-47.51927017023602,-4.991983431975029,cape town,285.15,87.0,20.0,5.7
105,9.828293729481757,-114.85897698901427,san patricio,282.121,78.0,20.0,1.31
106,-88.1879334558663,90.28743740449721,albany,298.84,62.0,20.0,2.1
107,-73.46561571672765,29.520548113813447,port elizabeth,301.68,74.0,1.0,1.86
108,-80.10607396225191,159.3019554021442,bluff,293.021,78.0,80.0,3.56
109,-1.4631268578144443,-139.6396508717826,atuona,299.671,99.0,0.0,8.71
110,-50.413627290776816,99.9017059767599,busselton,287.171,100.0,92.0,4.46
111,-7.788405741561206,136.51742463346824,merauke,299.171,91.0,88.0,5.11
112,14.75437752963714,-60.626927441922874,le vauclin,299.78,88.0,75.0,1.5
113,-28.925473116285133,128.135408458236,yulara,279.571,50.0,0.0,3.31
114,53.324733377987,-30.4254199427819,grindavik,285.74,87.0,0.0,4.1
116,1.7527141039504812,164.3670603642655,butaritari,302.571,100.0,48.0,1.61
117,-88.18690547605574,60.890419035777256,east london,287.971,100.0,0.0,4.01
118,14.901853868580034,127.34015075486116,gigmoto,301.421,99.0,64.0,5.21
119,69.58403033693997,14.586508992563608,stokmarknes,284.671,100.0,48.0,2.41
120,10.922318726803738,104.879327899011,chau doc,299.971,85.0,48.0,3.21
121,47.86362843116066,-144.25814420003553,sitka,309.221,29.0,12.0,7.36
123,-82.64073158144176,35.341763878136504,port elizabeth,301.68,74.0,1.0,1.86
124,9.652151131395385,-129.77970808943041,atuona,299.671,99.0,0.0,8.71
126,-56.57670097485364,-177.7749758851654,vaini,293.971,98.0,92.0,4.36
127,-64.66294303612457,-112.5087099126091,punta arenas,274.15,80.0,90.0,5.7
128,16.9080607792382,172.5257625593834,butaritari,302.571,100.0,48.0,1.61
129,16.703051253547372,-134.91988827376602,hilo,300.02,65.0,90.0,4.1
130,59.889135971404016,162.87935827797503,ossora,286.471,94.0,20.0,6.01
